B cell	T cell CD4+	T cell CD8+	Neutrophil	Macrophage	Myeloid dendritic cell
A_186	0.0574929713394396	0.0861961296921827	0.132882103755629	0.084405727023266	0	0.418666124278888
A_187	0.0702293596597933	0.09272949572464	0.196333404151991	0.120698278622219	0	0.498390459850289
A_188	0.0606933972010699	0.0839852470747638	0.134340637622539	0.0887884095270949	0	0.418478552728969
A_189	0.00879946038947826	0.0424059415829658	0.124458285074541	0.0458657231148152	0.143713423746148	0.485142626509943
A_190	0.0670357717764098	0.115216564924335	0.13853732173223	0.0989265312990546	0.00802926360302368	0.493765569770306
A_191	0.290457140515677	0.287510274802137	0.179823025392652	0.235616700278466	0.135711702548987	0.735012351095595
A_192	0.0487743135755137	0.109400244541803	0.177053706590643	0.0853557959918981	0.00915354648684739	0.430657154375782
A_193	0.0518057800039313	0.078957755336032	0.177414570638442	0.100992286278517	0.00145408657897281	0.396219705222296
A_194	0.105042990099713	0.171601883230987	0.264471152964163	0.14644072602394	0.0938035084986909	0.663605198877846
A_195	0.16131060898221	0.167621673421655	0.14981988293165	0.26685453564292	0.108213107483272	0.694888286880165
A_196	0.0808001716963483	0.204048600890892	0.21968339093915	0.143084498312385	0.0951446103174094	0.621744746795321
A_197	0.0843969084978752	0.115011064405217	0.153610448528633	0.0965389384556867	0.0409077104117653	0.508101012363471
A_198	0.0849478910240762	0.114572142124666	0.182810110940508	0.109165312238148	0.0658139128076252	0.464998459519272
A_199	0.0397713557021095	0.0843061748399413	0.141989245608562	0.0945760808707434	0	0.382231020627138
