NavB_up.ES	MemB_up.ES	CD8T_up.ES	CD4T_up.ES	NKcell_up.ES	Monocyte_up.ES	NavB_dn.ES	MemB_dn.ES	CD8T_dn.ES	CD4T_dn.ES	NKcell_dn.ES	Monocyte_dn.ES	NavB_up.pval	MemB_up.pval	CD8T_up.pval	CD4T_up.pval	NKcell_up.pval	Monocyte_up.pval	NavB_dn.pval	MemB_dn.pval	CD8T_dn.pval	CD4T_dn.pval	NKcell_dn.pval	Monocyte_dn.pval
ACC__TCGA-OR-A5LS	-5.66444347969702	-6.98212082306613	-10.4336841404793	-5.9074496003146	-10.4848867761386	-24.1552408221771	-6.92758704987087	-8.03186397378048	-6.06125681018631	-8.82156623408346	-4.61843587692161	-6.31322366731743	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5LT	-6.06796455414426	-7.11420113278705	-8.89940250692554	-5.2414516872271	-8.11346254428093	-17.3639638985869	-6.32621854876512	-7.20322003750886	-6.34433737708853	-8.56890595721453	-5.50699140270912	-7.6007897294192	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OU-A5PI	-7.51262199084353	-8.41786263260062	-9.44218220319197	-5.5455568029538	-8.5789338407179	-23.1352365770268	-7.77990273134902	-6.43696563399025	-6.23636283815744	-6.2567932744775	-5.24434697439698	-5.22218625817113	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-P6-A5OF	-6.73893463937708	-7.53520794002037	-12.0375811171971	-7.08144333658787	-10.1436129255235	-19.9734994077514	-9.31409876490718	-9.14867751639216	-7.43078527821164	-5.56883347843111	-5.4695386785719	-8.3814931901709	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-P6-A5OG	-2.77246782691067	-3.5754444641992	1.44284083278205	-2.50092908889103	2.2320732733119	1.45175469995196	3.33960632253538	1.61251281246922	-5.20843368791083	2.03012298008338	2.67525440466969	0.973915375974827	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-PA-A5YG	1.19537131379093	2.01828587464957	-2.38844173195046	-3.22539419493089	1.47855694857609	-10.8349754743466	-6.40900849951529	-4.59360712278895	-6.55986078976046	-3.02441755996675	-5.2376654435531	-2.1541487633105	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-PK-A5H8	-3.39095065923181	-4.92257532193144	-12.5909772307741	-6.0668025367587	-10.0861341150579	-12.8401650020748	-7.6230026732879	-8.14217078187071	-5.60939243724224	-5.1241800548496	-4.64625307615354	-9.32801367055211	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-PK-A5H9	-2.12035484079538	-2.52108833183989	-5.02945024035381	-3.21675390790294	-2.68019676888228	-9.09712565958316	-7.94960331559062	-8.95325983719068	-6.42932078471794	-3.45130159849377	-5.23196700972901	-3.60070930940801	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-PK-A5HA	-4.30804147851789	-5.04219332816748	-2.71668408412981	-2.5733648054883	1.37625447113224	-10.2109133478111	-7.48148231658883	-4.93539665206666	-5.467668978801	1.26261481955689	-4.3902044957359	-3.44036018248797	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-PK-A5HB	-7.5939385867009	-7.37514017822358	-11.5960936339332	-6.37712493083094	-11.0672486504795	-23.8445391483634	-7.05526819867521	-8.25396103490276	-6.61016381092712	-6.57173734340848	-4.69487398030961	-8.40014504297327	0	0	0	0	0	0	0	0	0	0	0	0
BLCA__TCGA-2F-A9KO	0.936543498242035	-3.76118061390115	1.78138361836945	4.06113015111073	1.39183321682057	-8.90874838070955	-7.02117074732019	1.53019091798084	-6.79244030942886	-4.89369110519858	-5.07510164038381	1.24835456009482	0	0	0	0	0	0	0	0	0	0	0	0
BLCA__TCGA-2F-A9KP	-6.62887609901143	-7.02142521751645	-10.4897177335296	-4.89222393051881	-12.7996442232122	-27.3966846257841	-7.41359167083955	-7.61480802162942	-7.90079043923507	-9.61567914370013	-5.01270520957034	-5.57114719076184	0	0	0	0	0	0	0	0	0	0	0	0
BLCA__TCGA-2F-A9KQ	-8.69052113117991	-8.76137717525144	-10.0600784610616	-5.58459526229914	-12.3919227319346	-26.5531166627584	-9.19529071860899	-8.08246198502668	-7.78759458696807	-6.54904215568526	-5.57678859756208	-6.46433195759713	0	0	0	0	0	0	0	0	0	0	0	0
BLCA__TCGA-2F-A9KR	-10.686728830425	-10.692304221416	-8.92470347338264	-5.86747376285591	-11.3613962166176	-27.6141135462773	-8.72055119423599	-6.37049887016938	-8.35408932623176	-9.74000096929066	-6.15145505570242	-5.89542224029631	0	0	0	0	0	0	0	0	0	0	0	0
BLCA__TCGA-2F-A9KT	-9.24257282208764	-8.2234346081095	-11.2320922791067	-6.66914411228941	-10.9328826657361	-19.6293368485675	-8.2954176083286	-7.62470431020656	-7.53997772950378	-5.70466684522486	-4.38798769799366	-7.53882482081695	0	0	0	0	0	0	0	0	0	0	0	0
BLCA__TCGA-2F-A9KW	-5.41318418408857	-5.23430847841645	-8.80771493748319	-4.03902511920547	-8.83599289685557	-10.191755997402	-6.37454689860008	-3.33106837500591	-6.24311117286675	1.25952468486199	-3.01878472596663	-4.965207166115	0	0	0	0	0	0	0	0	0	0	0	0
BLCA__TCGA-4Z-AA7M	-8.5604473269551	-8.15621764434251	-10.5862815193316	-5.88091986882131	-11.6098739967327	-23.5894351485275	-6.73980688677967	-8.09044246729477	-6.42453479666455	-9.53166604944981	-3.88105351687413	-7.40249067135475	0	0	0	0	0	0	0	0	0	0	0	0
